college,State,region
Bates College,ME,Downeast
Bowdoin College,ME,Downeast
Colby College,ME,Downeast
University of Maine - Farmington,ME,Downeast
University of Maine - Fort Kent,ME,York
Husson University,ME,York
Maine Maritime Academy,ME,York
University of New England,ME,York
Saint Joseph's College,ME,Midcoast
Thomas College,ME,Midcoast
University of Maine,ME,Midcoast
University of Southern Maine,ME,Midcoast
University of Maine - Machias,ME,Midcoast
Beal College,ME,Western
Central Maine Community College,ME,Western
Eastern Maine Community College,ME,Western
Southern Maine Community College,ME,Penquis
Northern Maine Community College,ME,Penquis
University of Maine - Augusta,ME,Midcoast
Unity College,ME,Midcoast
Washington County Community College,ME,Midcoast
Kennebec Valley Community College,ME,Downeast
College of the Atlantic,ME,Downeast
Maine College of Art,ME,Downeast
Spa Tech Institute,ME,Downeast
New England School of Communications,ME,Downeast
York County Community College,ME,York
Seacoast Career Schools,ME,York
Adrian College,MI,Region 9
Albion College,MI,Region 9
Alma College,MI,Region 9
Alpena Community College,MI,Region 9
Andrews University,MI,Region 4
Aquinas College,MI,Region 4
Bay De Noc Community College,MI,Region 4
Calvin College,MI,Region 4
Calvin Theological Seminary,MI,Region 4
Central Michigan University,MI,Region 3
Cleary University,MI,Region 3
Cranbrook Academy of Art,MI,Region 3
Davenport University,MI,Region 3
Delta College,MI,Region 2
Michigan State University College of Law,MI,Region 2
Eastern Michigan University,MI,Region 5
Ferris State University,MI,Region 5
Charles Stewart Mott Community College,MI,Region 5
Kettering University,MI,Region 8
Glen Oaks Community College,MI,Region 8
Gogebic Community College,MI,Region 8
Grace Bible College,MI,Region 9
Cornerstone University,MI,Region 9
Grand Rapids Community College,MI,Region 9
Grand Valley State University,MI,Region 9
Great Lakes Christian College,MI,Region 9
Henry Ford College,MI,Region 4
Hope College,MI,Region 4
Jackson College,MI,Region 4
Kalamazoo College,MI,Region 4
Kellogg Community College,MI,Region 4
Lake Michigan College,MI,Region 3
Lansing Community College,MI,Region 3
Lawrence Technological University,MI,Region 3
Madonna University,MI,Region 3
Marygrove College,MI,Region 2
Rochester College,MI,Region 2
Michigan State University,MI,Region 5
Michigan Technological University,MI,Region 5
Lake Superior State University,MI,Region 5
Monroe County Community College,MI,Region 8
Montcalm Community College,MI,Region 8
Muskegon Community College,MI,Region 8
North Central Michigan College,MI,Region 9
Northern Michigan University,MI,Region 9
Northwestern Michigan College,MI,Region 9
Oakland Community College,MI,Region 9
Oakland University,MI,Region 9
Olivet College,MI,Region 4
St. Clair County Community College,MI,Region 4
Kuyper College,MI,Region 4
Sacred Heart Major Seminary,MI,Region 4
Saginaw Valley State University,MI,Region 4
Schoolcraft College,MI,Region 3
Siena Heights University,MI,Region 3
Southwestern Michigan College,MI,Region 3
Spring Arbor University,MI,Region 3
Finlandia University,MI,Region 2
University of Detroit Mercy,MI,Region 2
University of Michigan - Ann Arbor,MI,Region 5
Washtenaw Community College,MI,Region 5
Wayne State University,MI,Region 5
Western Michigan University,MI,Region 8
Walsh College of Accountancy & Business Administration,MI,Region 8
Northwood University,MI,Region 8
Baker College,MI,Region 9
Dorsey School of Business,MI,Region 9
Mid Michigan Community College,MI,Region 9
College for Creative Studies,MI,Region 9
Kalamazoo Valley Community College,MI,Region 9
Kirtland Community College,MI,Region 4
Carnegie Institute,MI,Region 4
West Shore Community College,MI,Region 4
Macomb Community College,MI,Region 4
Wayne County Community College District,MI,Region 4
Everest Institute,MI,Region 3
Thomas M. Cooley Law School,MI,Region 3
Everest Institute,MI,Region 3
Taylortown School of Beauty,MI,Region 3
Specs Howard School of Media Arts,MI,Region 2
Yeshiva Gedolah of Greater Detroit,MI,Region 2
Michigan Career and Technical Institute,MI,Region 5
Detroit Business Institute - Downriver,MI,Region 5
Bay Mills Community College,MI,Region 5
