,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
3223,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Sonora,9720.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3224,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Sonora,9720.0,Southwest,Missouri,Southwest,0.0774764994,2012.0
3225,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Sonora,9720.0,Region 2,South Carolina,Region 2,0.0648767789,2012.0
3227,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Columbia,16564.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3228,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Columbia,16564.0,Southwest,Missouri,Southwest,0.0774764994,2012.0
3229,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Columbia,16564.0,Region 2,South Carolina,Region 2,0.0648767789,2012.0
3231,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Columbia,36928.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3232,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Columbia,36928.0,Southwest,Missouri,Southwest,0.0774764994,2012.0
3233,columbia college,95370-8580     ,Public,27,56171,53607,0,0,0,146,68320,63500,Columbia,36928.0,Region 2,South Carolina,Region 2,0.0648767789,2012.0
3235,columbia college,60605-1996     ,Private/Non-Profit,138,656491,539093,0,0,0,359,575927,616750,Sonora,9720.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3236,columbia college,60605-1996     ,Private/Non-Profit,138,656491,539093,0,0,0,359,575927,616750,Sonora,9720.0,Southwest,Missouri,Southwest,0.0774764994,2012.0
3237,columbia college,60605-1996     ,Private/Non-Profit,138,656491,539093,0,0,0,359,575927,616750,Sonora,9720.0,Region 2,South Carolina,Region 2,0.0648767789,2012.0
3239,columbia college,60605-1996     ,Private/Non-Profit,138,656491,539093,0,0,0,359,575927,616750,Columbia,16564.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3240,columbia college,60605-1996     ,Private/Non-Profit,138,656491,539093,0,0,0,359,575927,616750,Columbia,16564.0,Southwest,Missouri,Southwest,0.0774764994,2012.0
